rider_id,city,join_date,rider_segment
R000178,Dhaka,2024-10-25,Regular
R000179,Dhaka,2024-09-18,Regular
R000180,Sylhet,2024-07-22,Regular
R000181,Dhaka,2024-09-28,Regular
R000182,Dhaka,2024-07-31,Regular
R000183,Sylhet,2024-08-08,Budget
R000184,Sylhet,2024-07-29,Premium
R000185,Dhaka,2024-07-24,Budget
R000186,Dhaka,2024-08-08,Budget
R000187,Dhaka,2024-09-18,Regular
R000188,Dhaka,2024-08-22,Budget
R000189,Chattogram,2024-09-05,Budget
R000190,Chattogram,2024-09-15,Budget
R000191,Dhaka,2024-10-07,Regular
R000192,Chattogram,2024-07-03,Premium
R000193,Chattogram,2024-10-25,Regular
R000194,Dhaka,2024-08-31,Budget
R000195,Chattogram,2024-07-11,Regular
R000196,Sylhet,2024-08-20,Budget
R000197,Dhaka,2024-09-04,Regular
R000198,Dhaka,2024-10-16,Premium
R000199,Chattogram,2024-10-16,Budget
R000200,Chattogram,2024-07-04,Regular
R000201,Dhaka,2024-07-31,Premium
R000202,Dhaka,2024-08-17,Regular
R000203,Dhaka,2024-07-27,Premium
R000204,Dhaka,2024-09-17,Budget
R000205,Sylhet,2024-08-13,Budget
R000206,Dhaka,2024-08-01,Premium
R000207,Sylhet,2024-09-10,Regular
R000208,Chattogram,2024-07-29,Budget
R000209,Dhaka,2024-09-05,Budget
R000210,Chattogram,2024-08-21,Regular
R000211,Chattogram,2024-07-12,Regular
R000212,Dhaka,2024-10-18,Regular
R000213,Dhaka,2024-08-29,Regular
R000214,Dhaka,2024-08-27,Premium
R000215,Dhaka,2024-08-25,Budget
R000216,Dhaka,2024-08-28,Regular
R000217,Chattogram,2024-09-29,Budget
R000218,Dhaka,2024-08-23,Regular
R000219,Dhaka,2024-09-24,Regular
R000220,Chattogram,2024-10-24,Budget
R000221,Dhaka,2024-08-08,Premium
R000222,Dhaka,2024-08-25,Budget
R000223,Chattogram,2024-07-13,Premium
R000224,Sylhet,2024-07-28,Regular
R000225,Dhaka,2024-10-06,Budget
R000226,Chattogram,2024-08-26,Regular
R000227,Dhaka,2024-10-10,Premium
R000228,Dhaka,2024-09-25,Regular
R000229,Dhaka,2024-08-07,Regular
R000230,Dhaka,2024-07-22,Budget
R000231,Dhaka,2024-08-12,Regular
R000232,Chattogram,2024-09-07,Regular
R000233,Sylhet,2024-07-31,Budget
R000234,Dhaka,2024-09-10,Premium
R000235,Dhaka,2024-10-20,Premium
R000236,Dhaka,2024-09-29,Premium
R000237,Dhaka,2024-07-04,Premium
R000238,Dhaka,2024-09-04,Premium
R000239,Dhaka,2024-08-31,Regular
R000240,Sylhet,2024-07-20,Regular
R000241,Chattogram,2024-10-10,Regular
R000242,Dhaka,2024-09-12,Regular
R000243,Dhaka,2024-07-13,Premium
R000244,Dhaka,2024-08-08,Budget
R000245,Sylhet,2024-07-23,Premium
R000246,Dhaka,2024-09-29,Regular
R000247,Dhaka,2024-08-11,Budget
R000248,Dhaka,2024-10-01,Budget
R000249,Dhaka,2024-09-18,Budget
R000250,Sylhet,2024-09-20,Premium
R000251,Chattogram,2024-07-24,Regular
R000252,Dhaka,2024-09-15,Regular
R000253,Chattogram,2024-09-20,Budget
R000254,Sylhet,2024-10-09,Regular
R000255,Sylhet,2024-10-21,Regular
R000256,Chattogram,2024-09-16,Budget
R000257,Sylhet,2024-08-06,Premium
R000258,Dhaka,2024-10-20,Budget
R000259,Dhaka,2024-10-20,Regular
R000260,Sylhet,2024-08-19,Budget
R000261,Dhaka,2024-09-11,Budget
R000262,Sylhet,2024-07-10,Regular
R000263,Chattogram,2024-09-05,Regular
R000264,Dhaka,2024-10-24,Budget
R000265,Dhaka,2024-09-13,Premium
R000266,Chattogram,2024-10-13,Premium
R000267,Sylhet,2024-08-16,Regular
R000268,Chattogram,2024-10-24,Premium
R000269,Chattogram,2024-08-21,Budget
R000270,Dhaka,2024-07-10,Budget
R000271,Sylhet,2024-09-01,Regular
R000272,Dhaka,2024-08-21,Regular
R000273,Chattogram,2024-09-06,Budget
R000274,Dhaka,2024-08-04,Regular
R000275,Dhaka,2024-07-02,Regular
R000276,Dhaka,2024-08-15,Premium
R000277,Dhaka,2024-07-15,Regular
R000278,Chattogram,2024-10-27,Budget
R000279,Dhaka,2024-08-22,Budget
R000280,Chattogram,2024-10-14,Regular
R000281,Chattogram,2024-10-06,Budget
R000282,Dhaka,2024-08-20,Budget
R000283,Dhaka,2024-07-29,Regular
R000284,Dhaka,2024-07-25,Budget
R000285,Sylhet,2024-10-06,Budget
R000286,Dhaka,2024-08-25,Regular
R000287,Dhaka,2024-09-30,Regular
R000288,Chattogram,2024-08-29,Premium
R000289,Dhaka,2024-07-15,Premium
R000290,Dhaka,2024-08-25,Budget
R000291,Dhaka,2024-10-20,Premium
R000292,Dhaka,2024-09-29,Budget
R000293,Chattogram,2024-10-18,Budget
R000294,Dhaka,2024-10-25,Budget
R000295,Dhaka,2024-10-27,Budget
R000296,Dhaka,2024-08-23,Regular
R000297,Dhaka,2024-10-13,Budget
R000298,Chattogram,2024-09-23,Regular
R000299,Chattogram,2024-08-26,Budget
R000300,Dhaka,2024-09-23,Budget
R000301,Dhaka,2024-10-19,Budget
R000302,Dhaka,2024-08-08,Budget
R000303,Dhaka,2024-10-01,Regular
R000304,Dhaka,2024-09-06,Budget
R000305,Dhaka,2024-09-09,Regular
R000306,Dhaka,2024-09-27,Regular
R000307,Chattogram,2024-07-05,Budget
R000308,Chattogram,2024-08-07,Premium
R000309,Dhaka,2024-10-21,Budget
R000310,Chattogram,2024-08-22,Regular
R000311,Dhaka,2024-08-02,Budget
R000312,Dhaka,2024-10-12,Regular
R000313,Chattogram,2024-09-16,Budget
R000314,Dhaka,2024-10-12,Regular
R000315,Dhaka,2024-07-07,Budget
R000316,Chattogram,2024-10-11,Premium
R000317,Dhaka,2024-07-28,Regular
R000318,Dhaka,2024-10-14,Budget
R000319,Dhaka,2024-07-31,Budget
R000320,Dhaka,2024-09-08,Budget
R000321,Dhaka,2024-10-26,Budget
R000322,Dhaka,2024-10-16,Budget
R000323,Dhaka,2024-08-15,Premium
R000324,Dhaka,2024-08-08,Regular
R000325,Chattogram,2024-10-14,Regular
R000326,Dhaka,2024-07-13,Regular
R000327,Dhaka,2024-09-20,Regular
R000328,Dhaka,2024-10-22,Budget
R000329,Dhaka,2024-08-26,Budget
R000330,Chattogram,2024-10-28,Regular
R000331,Dhaka,2024-08-19,Premium
R000332,Chattogram,2024-07-30,Budget
R000333,Dhaka,2024-10-17,Budget
R000334,Dhaka,2024-07-03,Budget
R000335,Dhaka,2024-10-03,Budget
R000336,Dhaka,2024-10-04,Premium
R000337,Dhaka,2024-07-09,Regular
R000338,Dhaka,2024-10-09,Premium
R000339,Dhaka,2024-08-14,Budget
R000340,Sylhet,2024-09-09,Premium
R000341,Chattogram,2024-10-07,Budget
R000342,Dhaka,2024-10-07,Regular
R000343,Sylhet,2024-07-16,Regular
R000344,Dhaka,2024-07-24,Budget
R000345,Chattogram,2024-07-31,Budget
R000346,Dhaka,2024-09-06,Budget
R000347,Dhaka,2024-07-25,Budget
R000348,Dhaka,2024-07-25,Regular
R000349,Dhaka,2024-07-31,Regular
R000350,Dhaka,2024-08-06,Regular
R000351,Dhaka,2024-07-20,Budget
R000352,Dhaka,2024-08-07,Budget
R000353,Dhaka,2024-08-15,Premium
R000354,Dhaka,2024-07-19,Regular
R000355,Dhaka,2024-08-14,Regular
R000356,Chattogram,2024-09-23,Regular
R000357,Dhaka,2024-09-04,Budget
R000358,Dhaka,2024-07-25,Premium
R000359,Chattogram,2024-08-30,Premium
R000360,Dhaka,2024-09-02,Regular
R000361,Sylhet,2024-07-30,Budget
R000362,Dhaka,2024-09-17,Regular
R000363,Dhaka,2024-10-11,Regular
R000364,Dhaka,2024-08-02,Regular
R000365,Dhaka,2024-08-03,Budget
R000366,Dhaka,2024-09-26,Regular
R000367,Chattogram,2024-07-26,Regular
R000368,Dhaka,2024-07-12,Premium
R000369,Dhaka,2024-10-20,Regular
R000370,Dhaka,2024-09-01,Budget
R000371,Dhaka,2024-08-30,Budget
R000372,Chattogram,2024-10-25,Regular
R000373,Dhaka,2024-10-02,Premium
R000374,Dhaka,2024-10-29,Regular
R000375,Sylhet,2024-09-19,Regular
R000376,Dhaka,2024-10-21,Premium
R000377,Chattogram,2024-08-13,Budget
R000378,Dhaka,2024-08-23,Regular
R000379,Chattogram,2024-09-18,Regular
R000380,Chattogram,2024-10-13,Regular
R000381,Dhaka,2024-10-25,Budget
R000382,Dhaka,2024-09-09,Regular
R000383,Dhaka,2024-08-26,Regular
R000384,Chattogram,2024-07-09,Premium
R000385,Dhaka,2024-10-06,Regular
R000386,Dhaka,2024-10-17,Regular
R000387,Dhaka,2024-10-09,Budget
R000388,Chattogram,2024-07-16,Budget
R000389,Dhaka,2024-09-04,Regular
R000390,Chattogram,2024-10-05,Regular
R000391,Chattogram,2024-09-24,Regular
R000392,Dhaka,2024-09-09,Budget
R000393,Dhaka,2024-09-27,Premium
R000394,Dhaka,2024-09-16,Budget
R000395,Dhaka,2024-07-17,Premium
R000396,Dhaka,2024-08-02,Regular
R000397,Dhaka,2024-08-23,Regular
R000398,Dhaka,2024-10-14,Premium
R000399,Sylhet,2024-08-22,Regular
R000400,Chattogram,2024-10-19,Premium
R000401,Chattogram,2024-10-13,Budget
R000402,Dhaka,2024-07-03,Regular
R000403,Dhaka,2024-09-06,Regular
R000404,Sylhet,2024-10-21,Premium
R000405,Dhaka,2024-08-09,Budget
R000406,Sylhet,2024-09-14,Regular
R000407,Dhaka,2024-09-12,Premium
R000408,Chattogram,2024-09-10,Regular
R000409,Dhaka,2024-10-07,Budget
R000410,Dhaka,2024-09-07,Budget
R000411,Chattogram,2024-08-03,Budget
R000412,Dhaka,2024-08-10,Budget
R000413,Dhaka,2024-07-24,Premium
R000414,Dhaka,2024-08-06,Budget
R000415,Chattogram,2024-08-23,Regular
R000416,Dhaka,2024-10-07,Regular
R000417,Dhaka,2024-09-02,Budget
R000418,Dhaka,2024-08-09,Budget
R000419,Sylhet,2024-08-11,Budget
R000420,Dhaka,2024-08-09,Regular
R000421,Dhaka,2024-07-23,Regular
R000422,Dhaka,2024-08-08,Premium
R000423,Dhaka,2024-07-02,Budget
R000424,Dhaka,2024-09-21,Premium
R000425,Dhaka,2024-08-20,Regular
R000426,Dhaka,2024-10-02,Regular
R000427,Dhaka,2024-07-19,Premium
R000428,Dhaka,2024-09-14,Budget
R000429,Dhaka,2024-10-13,Regular
R000430,Dhaka,2024-09-04,Budget
R000431,Chattogram,2024-07-09,Regular
R000432,Dhaka,2024-10-02,Budget
R000433,Dhaka,2024-07-13,Regular
R000434,Dhaka,2024-10-01,Budget
R000435,Chattogram,2024-07-05,Premium
R000436,Dhaka,2024-08-25,Budget
R000437,Chattogram,2024-09-01,Budget
R000438,Dhaka,2024-08-03,Budget
R000439,Chattogram,2024-10-18,Regular
R000440,Dhaka,2024-08-24,Budget
R000441,Dhaka,2024-10-13,Regular
R000442,Dhaka,2024-10-08,Budget
R000443,Chattogram,2024-10-08,Budget
R000444,Chattogram,2024-07-20,Budget
R000445,Dhaka,2024-07-31,Budget
R000446,Chattogram,2024-08-20,Premium
R000447,Chattogram,2024-08-08,Budget
R000448,Chattogram,2024-07-06,Budget
R000449,Dhaka,2024-08-05,Premium
R000450,Dhaka,2024-07-06,Budget
R000451,Dhaka,2024-07-14,Budget
R000452,Dhaka,2024-10-21,Regular
R000453,Dhaka,2024-10-08,Premium
R000454,Chattogram,2024-07-08,Budget
R000455,Dhaka,2024-09-21,Budget
R000456,Dhaka,2024-09-21,Budget
R000457,Chattogram,2024-10-01,Budget
R000458,Dhaka,2024-08-29,Budget
R000459,Dhaka,2024-09-24,Premium
R000460,Chattogram,2024-08-13,Budget
R000461,Chattogram,2024-07-18,Regular
R000462,Chattogram,2024-08-20,Regular
R000463,Dhaka,2024-08-29,Budget
R000464,Dhaka,2024-09-25,Regular
R000465,Chattogram,2024-08-02,Budget
R000466,Dhaka,2024-07-06,Regular
R000467,Sylhet,2024-09-18,Regular
R000468,Dhaka,2024-09-13,Budget
R000469,Dhaka,2024-07-15,Premium
R000470,Dhaka,2024-09-21,Regular
R000471,Dhaka,2024-10-29,Regular
R000472,Chattogram,2024-09-15,Regular
R000473,Dhaka,2024-10-13,Budget
R000474,Dhaka,2024-07-20,Premium
R000475,Chattogram,2024-07-29,Regular
R000476,Chattogram,2024-10-22,Regular
R000477,Dhaka,2024-09-18,Premium
R000478,Dhaka,2024-08-30,Budget
R000479,Dhaka,2024-07-08,Budget
R000480,Dhaka,2024-07-25,Regular
R000481,Dhaka,2024-09-17,Regular
R000482,Dhaka,2024-07-25,Budget
R000483,Dhaka,2024-08-15,Budget
R000484,Chattogram,2024-10-28,Budget
R000485,Dhaka,2024-09-04,Regular
R000486,Chattogram,2024-10-19,Premium
R000487,Chattogram,2024-10-01,Budget
R000488,Dhaka,2024-10-10,Budget
R000489,Dhaka,2024-10-09,Budget
R000490,Dhaka,2024-09-20,Regular
R000491,Dhaka,2024-07-28,Regular
R000492,Dhaka,2024-08-10,Budget
R000493,Chattogram,2024-10-21,Regular
R000494,Chattogram,2024-10-08,Budget
R000495,Dhaka,2024-10-25,Regular
R000496,Chattogram,2024-07-15,Regular
R000497,Dhaka,2024-07-11,Regular
R000498,Dhaka,2024-09-09,Budget
R000499,Sylhet,2024-07-25,Budget
R000500,Sylhet,2024-10-26,Budget
R000501,Dhaka,2024-07-22,Regular
R000502,Chattogram,2024-10-12,Regular
R000503,Chattogram,2024-07-07,Regular
R000504,Chattogram,2024-09-18,Regular
R000505,Dhaka,2024-10-19,Regular
R000506,Dhaka,2024-10-23,Premium
R000507,Sylhet,2024-07-07,Budget
R000508,Chattogram,2024-09-16,Premium
R000509,Dhaka,2024-08-29,Regular
R000510,Sylhet,2024-09-13,Budget
R000511,Chattogram,2024-10-02,Budget
R000512,Sylhet,2024-07-21,Premium
R000513,Sylhet,2024-08-22,Regular
R000514,Chattogram,2024-08-09,Regular
R000515,Dhaka,2024-07-18,Regular
R000516,Dhaka,2024-10-01,Regular
R000517,Dhaka,2024-08-26,Budget
R000518,Dhaka,2024-07-15,Regular
R000519,Dhaka,2024-07-21,Regular
R000520,Dhaka,2024-08-15,Budget
R000521,Dhaka,2024-09-15,Regular
R000522,Dhaka,2024-09-12,Regular
R000523,Chattogram,2024-10-14,Regular
R000524,Dhaka,2024-08-14,Budget
R000525,Chattogram,2024-08-12,Budget
R000526,Chattogram,2024-08-29,Regular
R000527,Sylhet,2024-08-27,Regular
R000528,Sylhet,2024-07-09,Budget
R000529,Chattogram,2024-10-09,Budget
R000530,Dhaka,2024-09-25,Regular
R000531,Chattogram,2024-07-10,Premium
R000532,Chattogram,2024-09-25,Budget
R000533,Dhaka,2024-10-26,Regular
R000534,Dhaka,2024-08-14,Budget
R000535,Dhaka,2024-10-10,Budget
R000536,Dhaka,2024-09-16,Budget
R000537,Dhaka,2024-10-13,Budget
R000538,Sylhet,2024-09-26,Budget
R000539,Dhaka,2024-08-22,Regular
R000540,Dhaka,2024-08-18,Premium
R000541,Chattogram,2024-10-06,Budget
R000542,Dhaka,2024-09-30,Premium
R000543,Sylhet,2024-09-22,Regular
R000544,Chattogram,2024-10-21,Budget
R000545,Sylhet,2024-10-11,Budget
R000546,Sylhet,2024-08-15,Regular
R000547,Chattogram,2024-07-05,Regular
R000548,Dhaka,2024-09-26,Budget
R000549,Dhaka,2024-07-28,Budget
R000550,Chattogram,2024-10-02,Budget
R000551,Dhaka,2024-09-29,Premium
R000552,Chattogram,2024-08-13,Premium
R000553,Sylhet,2024-08-02,Budget
R000554,Dhaka,2024-10-24,Regular
R000555,Chattogram,2024-09-09,Budget
R000556,Chattogram,2024-10-19,Budget
R000557,Dhaka,2024-07-28,Regular
R000558,Dhaka,2024-09-26,Regular
R000559,Dhaka,2024-10-29,Premium
R000560,Dhaka,2024-09-19,Budget
R000561,Chattogram,2024-10-26,Premium
R000562,Chattogram,2024-07-20,Regular
R000563,Chattogram,2024-07-08,Regular
R000564,Dhaka,2024-09-06,Budget
R000565,Dhaka,2024-07-14,Budget
R000566,Chattogram,2024-07-25,Regular
R000567,Dhaka,2024-07-15,Budget
R000568,Chattogram,2024-08-22,Budget
R000569,Chattogram,2024-09-27,Regular
R000570,Dhaka,2024-07-02,Regular
R000571,Chattogram,2024-09-24,Budget
R000572,Chattogram,2024-07-10,Regular
R000573,Dhaka,2024-09-10,Premium
R000574,Chattogram,2024-10-03,Regular
R000575,Chattogram,2024-08-16,Premium
R000576,Chattogram,2024-10-17,Regular
R000577,Chattogram,2024-08-05,Regular
R000578,Chattogram,2024-08-02,Regular
R000579,Dhaka,2024-10-18,Premium
R000580,Chattogram,2024-08-15,Budget
R000581,Chattogram,2024-08-07,Budget
R000582,Dhaka,2024-10-19,Regular
R000583,Dhaka,2024-09-13,Regular
R000584,Chattogram,2024-09-20,Regular
R000585,Dhaka,2024-07-29,Budget
R000586,Chattogram,2024-10-27,Premium
R000587,Chattogram,2024-09-20,Budget
R000588,Chattogram,2024-08-02,Regular
R000589,Chattogram,2024-10-29,Budget
R000590,Chattogram,2024-09-17,Regular
R000591,Sylhet,2024-09-19,Budget
R000592,Chattogram,2024-10-21,Premium
R000593,Dhaka,2024-09-13,Premium
R000594,Chattogram,2024-09-05,Budget
R000595,Dhaka,2024-10-26,Regular
R000596,Dhaka,2024-10-02,Regular
R000597,Dhaka,2024-08-12,Regular
R000598,Dhaka,2024-09-17,Premium
R000599,Sylhet,2024-09-21,Premium
R000600,Chattogram,2024-08-30,Budget
R000601,Chattogram,2024-10-07,Budget
R000602,Dhaka,2024-07-19,Budget
R000603,Dhaka,2024-07-30,Regular
R000604,Chattogram,2024-10-25,Budget
R000605,Dhaka,2024-09-23,Premium
R000606,Dhaka,2024-08-19,Regular
R000607,Dhaka,2024-09-06,Regular
R000608,Chattogram,2024-08-19,Budget
R000609,Dhaka,2024-09-20,Regular
R000610,Chattogram,2024-08-20,Budget
R000611,Sylhet,2024-07-29,Budget
R000612,Dhaka,2024-07-10,Premium
R000613,Dhaka,2024-09-30,Regular
R000614,Dhaka,2024-09-22,Budget
R000615,Sylhet,2024-08-02,Budget
R000616,Chattogram,2024-09-09,Budget
R000617,Dhaka,2024-10-04,Budget
R000618,Chattogram,2024-08-04,Budget
R000619,Chattogram,2024-09-15,Regular
R000620,Sylhet,2024-09-25,Budget
R000621,Chattogram,2024-08-08,Regular
R000622,Chattogram,2024-10-29,Regular
R000623,Chattogram,2024-09-22,Regular
R000624,Dhaka,2024-09-24,Budget
R000625,Sylhet,2024-07-15,Regular
R000626,Chattogram,2024-07-05,Regular
R000627,Dhaka,2024-08-27,Budget
R000628,Chattogram,2024-10-29,Budget
R000629,Dhaka,2024-09-01,Regular
R000630,Dhaka,2024-09-29,Regular
R000631,Dhaka,2024-09-16,Regular
R000632,Dhaka,2024-07-15,Regular
R000633,Dhaka,2024-09-20,Budget
R000634,Dhaka,2024-09-17,Regular
R000635,Chattogram,2024-10-25,Budget
R000636,Chattogram,2024-09-02,Premium
R000637,Chattogram,2024-08-15,Budget
R000638,Dhaka,2024-07-20,Budget
R000639,Dhaka,2024-09-28,Premium
R000640,Dhaka,2024-08-20,Regular
R000641,Chattogram,2024-07-21,Regular
R000642,Dhaka,2024-10-28,Budget
R000643,Dhaka,2024-09-19,Regular
R000644,Dhaka,2024-10-02,Budget
R000645,Dhaka,2024-08-01,Budget
R000646,Dhaka,2024-07-10,Budget
R000647,Dhaka,2024-10-02,Regular
R000648,Chattogram,2024-07-08,Budget
R000649,Dhaka,2024-08-12,Budget
R000650,Chattogram,2024-10-10,Regular
R000651,Dhaka,2024-10-17,Premium
R000652,Dhaka,2024-08-28,Regular
R000653,Chattogram,2024-10-19,Premium
R000654,Chattogram,2024-07-27,Regular
R000655,Dhaka,2024-10-18,Regular
R000656,Dhaka,2024-10-29,Premium
R000657,Dhaka,2024-08-31,Regular
R000658,Dhaka,2024-09-05,Regular
R000659,Dhaka,2024-10-13,Regular
R000660,Dhaka,2024-08-27,Budget
R000661,Dhaka,2024-09-02,Budget
R000662,Chattogram,2024-09-16,Budget
R000663,Sylhet,2024-08-31,Budget
R000664,Dhaka,2024-10-07,Regular
R000665,Chattogram,2024-08-30,Regular
